,Level,Date,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Week,Month
0,National,2019/01/01,"77,433,867","248,733,553","897,784,368","241,667,151","234,284,795","108,078,903","129,670,778","116,904,343","40,432,062","15,686,639","7,525,563","1,806,022","1,728,112",0,1
1,National,2019/01/02,"61,305,201","264,862,219","1,139,452,281","291,276,735","285,887,315","138,039,296","171,637,514","167,412,698","56,148,976","17,739,183","7,817,044","1,962,301","1,531,219",0,1
2,National,2019/01/03,"63,050,480","263,116,940","1,162,752,684","296,375,014","290,074,425","140,771,581","175,775,410","172,027,487","57,632,422","18,366,626","8,124,548","2,038,099","1,567,072",0,1
3,National,2019/01/04,"61,803,652","264,363,768","1,181,953,829","293,159,631","295,643,296","145,251,819","181,324,645","176,144,493","58,761,592","19,315,785","8,687,318","2,096,065","1,569,185",0,1
4,National,2019/01/05,"64,389,745","261,777,675","1,180,476,620","295,459,014","304,168,709","148,540,651","180,941,769","165,239,790","54,842,134","19,363,939","8,490,791","1,991,159","1,438,664",0,1
5,National,2019/01/06,"66,498,949","259,668,471","1,073,940,581","268,535,036","285,817,694","136,432,949","163,231,150","144,091,310","46,931,537","17,418,975","8,160,971","1,917,898","1,403,061",1,1
6,National,2019/01/07,"62,840,591","263,326,829","1,144,741,952","301,592,063","286,444,719","137,699,110","169,846,852","165,178,406","55,660,657","17,491,604","7,584,683","1,815,569","1,428,289",1,1
7,National,2019/01/08,"63,064,293","263,103,127","1,141,497,715","299,541,016","285,368,410","136,696,978","169,468,215","166,322,929","55,968,279","17,369,502","7,471,402","1,856,802","1,434,182",1,1
8,National,2019/01/09,"62,305,155","263,862,265","1,135,628,554","291,070,223","285,839,600","137,586,966","170,647,903","166,169,173","55,640,198","17,543,261","7,709,071","1,923,976","1,498,183",1,1
9,National,2019/01/10,"61,355,771","264,811,649","1,161,334,504","297,556,678","290,556,495","140,392,680","174,998,777","171,169,293","57,136,281","18,087,977","7,940,284","1,975,790","1,520,249",1,1
10,National,2019/01/11,"59,834,641","266,332,779","1,184,885,473","295,273,737","297,378,068","145,572,753","181,250,583","175,850,109","58,430,729","19,057,189","8,515,550","2,035,490","1,521,265",1,1
11,National,2019/01/12,"63,296,966","262,870,454","1,182,862,624","296,713,405","306,038,693","148,874,313","180,918,787","164,952,150","54,516,839","19,155,431","8,351,726","1,941,597","1,399,683",1,1
12,National,2019/01/13,"65,948,772","260,218,648","1,078,662,870","270,508,532","288,192,412","137,008,634","163,602,272","144,148,595","46,690,008","17,211,139","8,047,182","1,882,036","1,372,060",2,1
13,National,2019/01/14,"61,722,485","264,444,935","1,145,155,833","298,317,431","287,269,097","138,304,328","170,770,204","165,997,057","55,849,495","17,633,915","7,701,540","1,856,021","1,456,745",2,1
14,National,2019/01/15,"61,673,843","264,493,577","1,142,410,683","298,675,479","286,019,214","136,884,608","169,916,779","166,784,833","56,004,505","17,370,369","7,462,159","1,859,764","1,432,973",2,1
15,National,2019/01/16,"60,899,469","265,267,951","1,139,136,441","291,561,370","285,734,009","137,771,736","171,452,092","167,448,291","56,190,881","17,703,086","7,788,977","1,955,532","1,530,467",2,1
16,National,2019/01/17,"60,839,618","265,327,802","1,162,089,560","297,062,208","289,768,260","140,493,894","175,350,036","171,748,098","57,611,883","18,342,675","8,110,617","2,037,130","1,564,759",2,1
17,National,2019/01/18,"60,749,716","265,417,704","1,182,335,150","293,681,261","295,908,234","145,287,965","181,237,789","175,936,819","58,682,165","19,265,681","8,668,062","2,097,773","1,569,401",2,1
18,National,2019/01/19,"63,773,105","262,394,315","1,181,267,634","296,003,351","304,464,130","148,634,601","180,961,289","165,181,339","54,810,039","19,324,002","8,463,729","1,989,875","1,435,279",2,1
19,National,2019/01/20,"66,262,767","259,904,653","1,075,289,414","268,983,586","286,042,518","136,710,819","163,422,208","144,096,908","46,991,008","17,478,237","8,204,796","1,938,618","1,420,716",3,1
20,National,2019/01/21,"63,675,160","262,492,260","1,115,422,486","282,498,500","285,772,483","137,908,784","167,618,586","157,962,186","53,770,892","18,330,939","8,166,452","1,919,540","1,474,124",3,1
21,National,2019/01/22,"60,955,427","265,211,993","1,140,602,508","296,526,005","285,272,074","137,192,255","170,289,318","166,702,583","56,025,663","17,572,775","7,632,484","1,918,840","1,470,511",3,1
22,National,2019/01/23,"60,742,079","265,425,341","1,143,585,870","291,207,775","286,081,057","138,753,881","172,810,200","168,622,395","56,606,188","17,972,931","7,957,701","2,008,048","1,565,694",3,1
23,National,2019/01/24,"60,830,058","265,337,362","1,164,835,137","294,518,148","289,893,655","141,434,032","176,979,871","173,163,623","58,139,020","18,666,614","8,322,303","2,101,234","1,616,637",3,1
24,National,2019/01/25,"60,015,494","266,151,926","1,178,624,281","290,515,327","293,637,818","144,894,807","181,493,242","176,643,645","59,166,261","19,621,946","8,879,860","2,154,473","1,616,902",3,1
25,National,2019/01/26,"63,012,103","263,155,317","1,177,258,165","293,648,378","301,991,642","148,105,424","180,949,005","165,585,553","55,186,748","19,612,895","8,656,303","2,041,776","1,480,441",3,1
26,National,2019/01/27,"66,840,703","259,326,717","1,067,878,458","266,115,465","283,215,237","135,579,278","162,675,145","144,029,456","47,119,173","17,565,403","8,230,008","1,933,339","1,415,954",4,1
27,National,2019/01/28,"61,917,802","264,249,618","1,144,329,228","304,865,284","285,619,431","137,092,970","168,934,307","164,354,867","55,471,410","17,348,608","7,467,523","1,775,221","1,399,607",4,1
28,National,2019/01/29,"61,937,470","264,229,950","1,141,498,068","303,423,986","284,817,838","136,011,265","168,213,637","165,482,737","55,873,028","17,166,648","7,317,708","1,792,090","1,399,131",4,1
29,National,2019/01/30,"62,410,001","263,757,419","1,124,175,855","290,438,757","285,711,727","136,229,479","167,695,317","162,432,540","54,129,071","16,952,766","7,378,939","1,808,528","1,398,731",4,1
30,National,2019/01/31,"61,961,538","264,205,882","1,157,078,359","301,079,353","292,010,528","139,249,612","172,668,549","168,601,822","55,657,421","17,254,655","7,388,177","1,789,046","1,379,196",4,1
31,National,2019/02/01,"60,777,620","265,389,800","1,198,174,745","302,756,774","303,732,108","147,085,258","181,701,325","175,622,441","57,654,181","18,352,937","8,024,829","1,861,915","1,382,977",4,2
32,National,2019/02/02,"64,097,735","262,069,685","1,194,545,524","301,593,123","312,835,115","150,443,830","181,541,504","164,718,077","53,759,086","18,596,362","7,970,025","1,799,909","1,288,493",4,2
33,National,2019/02/03,"66,388,399","259,779,021","1,096,945,862","277,468,961","296,443,631","139,260,373","165,330,984","144,859,656","46,130,932","16,650,675","7,733,991","1,781,046","1,285,613",5,2
34,National,2019/02/04,"61,732,125","264,435,295","1,150,303,661","292,864,884","290,013,405","140,036,170","173,255,803","168,269,480","56,446,171","17,986,128","7,967,603","1,944,157","1,519,860",5,2
35,National,2019/02/05,"62,535,045","263,632,375","1,149,446,741","297,194,092","289,059,838","137,961,612","171,894,941","168,800,309","56,324,699","17,435,688","7,465,498","1,875,394","1,434,670",5,2
36,National,2019/02/06,"60,769,815","265,397,605","1,153,956,459","294,131,950","286,482,129","138,846,040","174,503,595","171,928,073","58,064,017","18,251,462","8,058,395","2,057,765","1,633,033",5,2
37,National,2019/02/07,"59,764,551","266,402,869","1,168,726,299","296,698,419","288,482,725","141,328,057","177,065,383","174,124,982","59,258,895","19,177,833","8,655,569","2,229,580","1,704,856",5,2
38,National,2019/02/08,"59,180,530","266,986,890","1,179,096,200","289,990,169","292,594,370","144,981,116","181,876,499","176,859,517","59,659,907","19,962,243","9,159,413","2,292,580","1,720,386",5,2
39,National,2019/02/09,"62,506,876","263,660,544","1,180,969,154","295,022,873","300,880,122","148,498,290","181,756,731","166,486,827","55,899,277","19,907,390","8,827,518","2,142,251","1,547,875",5,2
40,National,2019/02/10,"65,729,167","260,438,253","1,069,184,201","265,401,191","280,635,927","136,324,079","163,495,020","144,494,965","48,084,088","18,349,541","8,711,724","2,116,378","1,571,288",6,2
41,National,2019/02/11,"61,161,333","265,006,087","1,130,411,911","288,066,694","278,651,200","137,146,622","170,840,074","167,225,625","57,238,941","18,814,431","8,512,214","2,205,480","1,710,630",6,2
42,National,2019/02/12,"61,266,152","264,901,268","1,139,447,218","291,163,013","284,086,900","138,643,911","172,047,589","167,078,320","56,310,781","18,250,486","8,173,615","2,103,699","1,588,904",6,2
43,National,2019/02/13,"60,916,903","265,250,517","1,161,329,256","291,247,072","288,205,690","142,256,220","177,551,687","172,805,878","58,059,528","18,854,304","8,497,690","2,173,844","1,677,343",6,2
44,National,2019/02/14,"59,283,569","266,883,851","1,177,520,494","287,970,447","291,363,102","144,795,530","182,553,461","178,092,354","59,967,976","19,713,028","8,983,963","2,301,774","1,778,859",6,2
45,National,2019/02/15,"59,306,722","266,860,698","1,171,939,488","282,085,448","287,903,038","144,251,145","182,943,248","179,460,571","60,863,850","20,773,834","9,559,047","2,333,636","1,765,671",6,2
46,National,2019/02/16,"62,446,901","263,720,519","1,169,574,450","287,647,543","295,670,102","147,053,295","181,589,489","167,418,727","56,535,103","20,560,422","9,270,955","2,206,518","1,622,296",6,2
47,National,2019/02/17,"66,614,741","259,552,679","1,049,564,416","258,481,984","275,763,626","132,684,958","161,036,347","144,358,636","47,672,761","17,897,942","8,336,649","1,924,406","1,407,107",7,2
48,National,2019/02/18,"64,072,613","262,094,807","1,095,404,940","270,691,655","276,486,438","134,008,940","167,101,717","162,255,834","54,848,085","18,446,230","8,132,206","1,939,985","1,493,850",7,2
49,National,2019/02/19,"61,805,005","264,362,415","1,143,910,854","295,309,698","286,101,104","138,082,814","171,507,842","167,533,782","56,281,925","17,810,655","7,798,869","1,977,397","1,506,768",7,2
50,National,2019/02/20,"62,190,998","263,976,422","1,153,739,503","292,302,291","287,386,647","140,223,962","175,081,873","171,012,842","57,490,745","18,364,162","8,178,018","2,078,718","1,620,245",7,2
51,National,2019/02/21,"61,675,903","264,491,517","1,171,987,605","293,190,287","290,621,129","142,817,269","179,228,607","175,356,229","59,088,352","19,160,655","8,632,641","2,199,556","1,692,880",7,2
52,National,2019/02/22,"59,452,280","266,715,140","1,178,438,544","287,995,016","291,954,341","144,936,168","182,382,666","177,967,059","59,956,735","20,121,991","9,185,671","2,247,452","1,691,445",7,2
53,National,2019/02/23,"63,037,912","263,129,508","1,177,361,536","292,348,490","300,106,987","148,074,422","181,642,088","166,680,895","55,890,649","20,033,291","8,917,258","2,122,116","1,545,340",7,2
54,National,2019/02/24,"65,380,013","260,787,407","1,063,640,213","263,792,806","280,616,865","134,959,320","162,550,666","144,480,067","47,582,547","17,865,950","8,376,253","1,969,705","1,446,034",8,2
55,National,2019/02/25,"61,297,147","264,870,273","1,132,685,439","285,438,610","279,668,228","136,559,559","171,593,543","170,171,621","57,920,090","18,886,072","8,517,006","2,183,093","1,747,617",8,2
56,National,2019/02/26,"60,950,030","265,217,390","1,133,134,548","286,780,452","281,356,022","136,172,176","171,290,890","170,198,454","57,356,462","18,238,014","8,063,083","2,060,143","1,618,852",8,2
57,National,2019/02/27,"60,845,387","265,322,033","1,183,114,528","295,277,251","299,074,078","143,975,467","180,289,995","178,386,030","58,158,271","17,499,855","7,242,608","1,774,953","1,436,020",8,2
58,National,2019/02/28,"60,665,802","265,501,618","1,188,670,815","291,290,299","299,758,243","145,306,086","182,806,928","181,273,746","59,293,383","18,068,906","7,555,030","1,846,265","1,471,929",8,2
59,National,2019/03/01,"59,783,948","266,383,472","1,176,494,148","286,689,722","290,817,743","144,724,601","182,401,446","178,095,455","60,161,066","20,286,231","9,300,990","2,291,142","1,725,752",8,3
60,National,2019/03/02,"63,493,215","262,674,205","1,175,970,798","291,674,359","298,884,878","147,875,004","181,662,061","166,864,927","56,108,189","20,166,935","9,005,651","2,156,985","1,571,809",8,3
61,National,2019/03/03,"66,580,268","259,587,152","1,060,796,560","262,559,717","279,002,562","134,655,147","162,360,000","144,445,899","47,781,607","18,037,894","8,475,767","2,003,446","1,474,521",9,3
62,National,2019/03/04,"63,904,519","262,262,901","1,131,539,103","286,748,060","279,156,156","136,852,742","171,216,827","168,699,423","57,577,892","18,850,007","8,514,745","2,194,470","1,728,781",9,3
63,National,2019/03/05,"62,404,653","263,762,767","1,138,823,023","291,087,298","283,849,564","137,634,518","171,614,197","168,269,248","56,644,126","18,099,932","8,005,842","2,047,113","1,571,185",9,3
64,National,2019/03/06,"61,656,126","264,511,294","1,166,068,569","292,945,242","291,555,842","142,153,275","177,640,644","174,069,842","57,903,590","18,237,581","7,976,202","2,009,233","1,577,118",9,3
65,National,2019/03/07,"58,709,632","267,457,788","1,179,407,287","290,821,453","293,918,934","144,308,396","181,530,974","178,241,482","59,450,001","18,979,819","8,392,184","2,116,034","1,648,010",9,3
66,National,2019/03/08,"61,675,986","264,491,434","1,267,276,915","305,437,304","314,456,318","156,126,514","197,274,012","193,913,275","64,872,941","21,472,095","9,637,126","2,321,728","1,765,602",9,3
67,National,2019/03/09,"64,286,079","261,881,341","1,262,709,362","310,176,293","322,043,579","158,789,204","195,615,549","181,105,298","60,405,158","21,403,427","9,359,951","2,193,231","1,617,672",9,3
68,National,2019/03/10,"66,315,164","259,852,256","1,144,733,632","280,966,695","302,589,236","145,013,234","175,553,429","157,705,128","51,552,250","19,061,606","8,782,886","2,018,714","1,490,454",10,3
69,National,2019/03/11,"61,745,090","264,422,330","1,275,242,903","316,104,816","317,740,136","154,174,489","194,326,999","194,293,358","65,053,456","20,531,202","8,929,008","2,247,527","1,841,912",10,3
70,National,2019/03/12,"61,046,308","265,121,112","1,233,247,690","310,393,423","308,076,490","148,677,129","186,930,907","185,983,422","61,951,881","19,245,391","8,258,067","2,080,746","1,650,234",10,3
71,National,2019/03/13,"61,299,212","264,868,208","1,273,013,533","315,711,936","321,600,931","155,165,016","194,641,092","192,989,140","62,867,162","18,838,909","7,755,301","1,897,602","1,546,444",10,3
72,National,2019/03/14,"61,108,380","265,059,040","1,285,743,261","314,542,193","323,805,065","157,229,356","198,012,348","196,737,523","64,261,422","19,494,160","8,101,881","1,975,213","1,584,100",10,3
73,National,2019/03/15,"59,971,319","266,196,101","1,370,791,272","327,196,135","343,980,413","169,339,123","213,847,285","211,659,564","69,387,967","22,010,256","9,455,455","2,206,889","1,708,185",10,3
74,National,2019/03/16,"63,112,571","263,054,849","1,359,662,190","330,268,457","350,268,592","171,177,421","210,942,644","197,347,182","64,702,674","22,110,659","9,195,169","2,085,108","1,564,284",10,3
75,National,2019/03/17,"59,760,643","266,406,777","1,236,161,870","301,169,953","328,371,275","156,697,501","189,838,404","171,641,479","55,526,778","20,166,946","9,134,726","2,070,067","1,544,741",11,3
76,National,2019/03/18,"55,794,156","270,373,264","1,324,019,397","325,045,574","331,108,743","160,150,414","202,434,866","203,579,875","67,635,497","21,002,391","8,962,003","2,236,487","1,863,547",11,3
77,National,2019/03/19,"55,956,894","270,210,526","1,327,107,734","326,460,802","331,978,507","160,041,558","203,112,011","205,008,902","67,562,229","20,506,022","8,552,565","2,131,637","1,753,501",11,3
78,National,2019/03/20,"67,134,070","259,033,350","1,388,905,666","337,929,790","354,506,313","169,777,699","213,868,174","214,580,964","68,237,812","19,381,456","7,394,567","1,738,777","1,490,114",11,3
79,National,2019/03/21,"67,596,649","258,570,771","1,399,327,430","336,070,187","356,361,039","171,628,748","216,817,981","218,058,523","69,526,783","19,933,795","7,656,176","1,778,837","1,495,361",11,3
80,National,2019/03/22,"66,575,445","259,591,975","1,474,821,304","345,892,803","373,797,307","182,837,196","231,408,809","231,330,078","74,248,036","22,503,698","9,144,871","2,036,249","1,622,257",11,3
81,National,2019/03/23,"69,662,047","256,505,373","1,454,403,655","347,208,534","377,950,306","183,333,577","226,582,369","214,973,069","69,263,125","22,772,397","8,906,612","1,925,032","1,488,634",11,3
82,National,2019/03/24,"68,798,328","257,369,092","1,323,624,534","318,715,847","353,113,075","167,688,047","203,916,643","186,364,262","59,624,433","21,192,792","9,380,155","2,066,990","1,562,290",12,3
83,National,2019/03/25,"64,287,528","261,879,892","1,409,900,815","344,107,900","351,041,136","169,670,379","215,935,904","219,120,884","72,954,340","22,755,776","9,776,386","2,457,175","2,080,935",12,3
84,National,2019/03/26,"63,689,564","262,477,856","1,407,688,240","342,011,416","350,380,468","169,198,732","216,465,984","220,678,180","72,959,946","22,275,040","9,389,077","2,358,448","1,970,949",12,3
85,National,2019/03/27,"62,771,501","263,395,919","1,506,518,063","363,746,373","387,627,905","184,162,734","232,389,015","234,830,178","73,422,432","20,053,746","7,201,380","1,629,915","1,454,385",12,3
86,National,2019/03/28,"61,967,207","264,200,213","1,506,564,281","357,540,425","387,340,231","185,064,208","234,099,485","237,198,827","74,397,423","20,473,581","7,378,226","1,638,885","1,432,990",12,3
87,National,2019/03/29,"62,383,748","263,783,672","1,471,183,245","339,336,459","375,461,911","182,837,489","232,099,969","234,182,583","74,050,753","21,609,060","8,365,252","1,780,072","1,459,697",12,3
88,National,2019/03/30,"65,715,417","260,452,003","1,444,995,244","340,028,067","377,466,628","182,137,646","225,977,857","217,098,110","69,091,487","22,017,729","8,155,005","1,681,203","1,341,512",12,3
89,National,2019/03/31,"68,247,575","257,919,845","1,327,730,023","315,018,727","355,964,747","168,102,245","205,375,542","190,149,688","60,055,748","20,785,229","8,923,429","1,895,774","1,458,894",13,3
90,National,2019/04/01,"66,552,552","259,614,868","1,417,796,145","346,765,602","355,818,612","171,803,160","217,064,108","218,407,884","72,180,721","22,169,031","9,338,646","2,311,797","1,936,584",13,4
91,National,2019/04/02,"62,850,023","263,317,397","1,422,683,506","349,072,221","356,787,804","171,779,991","217,997,032","220,209,125","72,213,758","21,682,893","8,910,553","2,204,671","1,825,458",13,4
92,National,2019/04/03,"64,056,849","262,110,571","1,482,157,808","359,542,185","378,358,267","181,301,648","228,555,376","229,558,922","72,935,338","20,648,637","7,834,320","1,838,920","1,584,195",13,4
93,National,2019/04/04,"62,791,684","263,375,736","1,496,524,809","359,134,116","381,052,574","183,540,651","232,010,662","233,572,527","74,378,311","21,249,339","8,119,276","1,879,770","1,587,583",13,4
94,National,2019/04/05,"62,656,903","263,510,517","1,482,474,399","347,351,895","376,486,617","183,900,277","232,663,751","232,691,059","74,402,121","22,385,447","9,011,384","1,989,057","1,592,791",13,4
95,National,2019/04/06,"65,270,787","260,896,633","1,460,377,398","347,914,565","380,344,032","184,191,852","227,574,484","216,145,980","69,414,366","22,671,929","8,776,712","1,881,870","1,461,608",13,4
96,National,2019/04/07,"68,364,726","257,802,694","1,323,792,834","319,058,687","353,126,733","167,722,187","203,884,045","186,161,066","59,596,864","21,191,971","9,403,824","2,078,198","1,569,259",14,4
97,National,2019/04/08,"64,120,419","262,047,001","1,421,527,572","342,903,276","357,859,121","172,106,930","218,647,914","222,143,175","72,779,429","21,938,556","9,028,532","2,213,963","1,906,676",14,4
98,National,2019/04/09,"63,450,215","262,717,205","1,425,477,883","343,507,586","357,802,841","172,182,479","220,055,429","224,611,948","73,099,214","21,593,050","8,679,190","2,129,833","1,816,313",14,4
99,National,2019/04/10,"64,689,790","261,477,630","1,501,433,002","358,959,210","386,092,021","184,043,985","232,771,506","235,808,413","73,629,874","19,985,739","7,090,754","1,601,881","1,449,619",14,4
100,National,2019/04/11,"66,044,276","260,123,144","1,512,792,852","357,795,086","388,287,735","185,994,279","235,653,696","239,336,641","74,910,350","20,481,143","7,297,415","1,610,039","1,426,468",14,4
101,National,2019/04/12,"63,268,690","262,898,730","1,490,580,564","344,092,473","381,400,997","185,398,727","235,094,874","237,000,948","74,559,445","21,604,689","8,259,553","1,735,060","1,433,798",14,4
102,National,2019/04/13,"68,469,464","257,697,956","1,461,620,582","343,168,676","383,162,953","184,541,129","228,588,305","219,565,814","69,582,590","22,000,885","8,049,721","1,642,228","1,318,281",14,4
103,National,2019/04/14,"71,096,346","255,071,074","1,326,037,973","316,420,580","354,840,210","167,923,380","204,801,431","188,682,308","59,884,578","20,924,389","9,099,631","1,962,384","1,499,082",15,4
104,National,2019/04/15,"65,310,653","260,856,767","1,431,917,141","342,999,790","364,004,234","174,424,259","220,833,983","223,915,407","72,415,819","21,196,368","8,381,140","2,003,609","1,742,532",15,4
105,National,2019/04/16,"64,213,326","261,954,094","1,442,339,193","346,864,008","364,897,193","175,032,768","222,963,089","227,076,257","72,935,227","20,928,549","8,051,077","1,926,143","1,664,882",15,4
106,National,2019/04/17,"65,067,457","261,099,963","1,489,931,203","354,382,604","381,973,510","183,023,992","231,738,306","234,690,921","73,583,654","20,157,299","7,237,818","1,653,166","1,489,933",15,4
107,National,2019/04/18,"65,079,542","261,087,878","1,513,578,230","358,500,812","386,797,332","186,137,221","235,989,259","239,550,416","75,226,733","20,739,340","7,492,042","1,671,363","1,473,712",15,4
108,National,2019/04/19,"64,250,148","261,917,272","1,507,270,175","349,927,924","385,715,733","187,511,571","237,280,614","238,360,537","74,998,386","21,832,782","8,407,351","1,774,789","1,460,488",15,4
109,National,2019/04/20,"68,862,152","257,305,268","1,477,870,355","347,917,254","387,932,246","186,847,006","230,836,026","220,885,300","70,006,539","22,228,904","8,190,829","1,683,679","1,342,572",15,4
110,National,2019/04/21,"73,016,795","253,150,625","1,323,655,529","318,715,297","353,128,618","167,696,585","203,927,881","186,372,443","59,622,693","21,184,655","9,378,536","2,066,439","1,562,382",16,4
111,National,2019/04/22,"63,911,981","262,255,439","1,423,766,756","344,233,943","359,222,063","172,778,803","218,847,630","221,489,768","72,465,302","21,773,155","8,917,571","2,176,714","1,861,807",16,4
112,National,2019/04/23,"60,290,060","265,877,360","1,430,170,077","346,483,431","359,820,769","172,991,584","220,338,308","223,967,408","72,754,890","21,408,368","8,549,315","2,087,113","1,768,891",16,4
113,National,2019/04/24,"60,147,836","266,019,584","1,491,187,996","357,643,422","382,131,644","182,782,048","231,022,923","233,354,611","73,384,370","20,271,452","7,391,550","1,698,161","1,507,815",16,4
114,National,2019/04/25,"58,427,193","267,740,227","1,507,637,758","358,472,557","385,365,620","185,229,100","234,548,341","237,494,441","74,846,887","20,827,604","7,637,181","1,720,203","1,495,824",16,4
115,National,2019/04/26,"58,535,029","267,632,391","1,493,482,305","347,147,748","381,187,270","185,607,543","235,010,468","236,026,823","74,657,784","21,953,506","8,562,305","1,833,172","1,495,686",16,4
116,National,2019/04/27,"63,335,144","262,832,276","1,466,635,323","346,341,726","383,809,544","185,193,451","229,009,702","218,868,773","69,659,473","22,302,927","8,339,303","1,736,350","1,374,074",16,4
117,National,2019/04/28,"63,362,104","262,805,316","1,324,513,173","318,077,985","353,681,288","167,780,372","204,202,224","187,068,379","59,708,434","21,117,775","9,297,065","2,036,105","1,543,546",17,4
118,National,2019/04/29,"59,306,579","266,860,841","1,425,760,890","343,390,875","360,354,281","173,102,820","219,440,266","222,523,183","72,562,109","21,640,123","8,778,889","2,131,549","1,836,795",17,4
119,National,2019/04/30,"58,251,219","267,916,201","1,432,684,353","345,633,885","360,833,191","173,399,685","221,115,502","225,221,967","72,938,542","21,315,364","8,428,377","2,047,816","1,750,024",17,4
120,National,2019/05/01,"59,149,068","267,018,352","1,494,201,134","356,997,627","383,390,648","183,287,258","231,843,767","234,619,354","73,539,546","20,146,214","7,243,061","1,651,244","1,482,415",17,5
121,National,2019/05/02,"61,574,126","264,593,294","1,511,332,239","358,251,965","386,809,684","185,785,257","235,395,076","238,799,411","74,996,749","20,685,735","7,475,629","1,667,346","1,465,387",17,5
122,National,2019/05/03,"62,278,209","263,889,211","1,497,141,653","347,076,719","382,757,876","186,178,506","235,791,176","237,135,313","74,743,907","21,803,623","8,409,963","1,781,102","1,463,468",17,5
123,National,2019/05/04,"65,666,042","260,501,378","1,468,730,840","345,823,394","384,950,477","185,519,298","229,483,486","219,777,793","69,755,335","22,192,072","8,196,654","1,687,460","1,344,871",17,5
124,National,2019/05/05,"67,056,238","259,111,182","1,324,724,701","317,740,078","353,869,329","167,796,196","204,307,603","187,375,498","59,740,482","21,083,804","9,254,713","2,022,057","1,534,941",18,5
125,National,2019/05/06,"62,908,598","263,258,822","1,366,451,796","317,502,339","359,541,758","170,953,173","215,368,839","212,878,046","63,501,368","16,663,130","5,731,573","1,556,601","2,754,969",18,5
126,National,2019/05/07,"61,950,770","264,216,650","1,422,993,458","335,004,201","373,498,421","177,544,687","223,383,598","221,305,021","65,603,755","16,858,365","5,520,508","1,537,304","2,737,598",18,5
127,National,2019/05/08,"61,923,935","264,243,485","1,410,488,618","328,984,301","368,413,731","176,115,778","222,823,139","221,238,747","65,717,402","16,961,007","5,680,951","1,602,618","2,950,944",18,5
128,National,2019/05/09,"61,323,007","264,844,413","1,451,370,965","343,001,420","380,021,280","180,598,767","227,150,120","225,684,147","67,104,357","17,605,548","5,945,098","1,600,709","2,659,519",18,5
129,National,2019/05/10,"59,411,432","266,755,988","1,427,921,973","319,347,003","373,328,743","181,543,627","228,936,520","226,731,233","67,966,889","18,868,135","6,868,091","1,672,276","2,659,456",18,5
130,National,2019/05/11,"62,713,750","263,453,670","1,402,831,623","324,120,011","373,639,481","180,381,461","221,885,294","209,038,258","63,145,284","19,441,950","6,779,635","1,632,087","2,768,162",18,5
131,National,2019/05/12,"64,909,773","261,257,647","1,224,498,656","271,138,126","328,919,066","156,494,160","195,777,814","184,790,987","56,239,296","18,639,279","7,339,707","1,868,906","3,291,315",19,5
132,National,2019/05/13,"62,447,420","263,720,000","1,319,413,635","302,395,413","345,665,289","164,946,623","209,273,327","207,201,636","62,006,601","16,903,396","5,998,515","1,731,725","3,291,110",19,5
133,National,2019/05/14,"61,148,182","265,019,238","1,400,090,530","330,662,329","362,725,790","174,705,775","221,822,730","218,512,804","64,406,145","16,775,144","5,651,907","1,647,660","3,180,246",19,5
134,National,2019/05/15,"60,589,080","265,578,340","1,417,027,643","335,819,073","363,821,064","176,436,172","224,658,174","222,013,139","65,861,218","17,366,661","5,940,058","1,755,878","3,356,206",19,5
135,National,2019/05/16,"59,610,356","266,557,064","1,392,645,578","320,584,337","355,659,512","174,574,434","223,879,203","222,333,719","66,186,380","17,859,861","6,305,737","1,835,880","3,426,515",19,5
136,National,2019/05/17,"58,746,502","267,420,918","1,466,250,722","341,692,710","374,987,870","184,435,135","234,690,680","230,032,901","68,490,467","19,407,131","7,208,588","1,886,654","3,418,586",19,5
137,National,2019/05/18,"62,554,072","263,613,348","1,430,020,327","339,537,136","372,285,533","181,582,970","226,667,012","214,259,962","64,202,275","19,544,664","6,934,663","1,770,249","3,235,863",19,5
138,National,2019/05/19,"65,624,717","260,542,703","1,265,926,376","294,303,907","340,614,770","160,990,851","200,042,060","184,110,658","54,610,180","18,317,045","7,668,250","1,953,468","3,315,187",20,5
139,National,2019/05/20,"62,139,792","264,027,628","1,370,610,785","317,841,853","354,075,669","171,468,931","218,525,173","216,045,279","64,399,377","17,012,111","6,001,491","1,767,691","3,473,210",20,5
140,National,2019/05/21,"62,137,463","264,029,957","1,428,454,202","336,882,431","369,575,201","178,007,797","226,928,131","223,544,210","65,752,910","16,986,637","5,670,626","1,675,303","3,430,956",20,5
141,National,2019/05/22,"60,854,089","265,313,331","1,446,273,649","341,277,848","372,924,084","179,993,443","230,075,290","226,726,200","67,097,264","17,463,134","5,868,378","1,663,361","3,184,647",20,5
142,National,2019/05/23,"61,098,442","265,068,978","1,380,205,158","313,842,409","355,388,624","172,990,957","221,701,595","220,848,725","66,263,756","17,936,754","6,410,736","1,767,000","3,054,602",20,5
143,National,2019/05/24,"59,407,370","266,760,050","1,452,759,491","332,205,420","372,554,659","183,230,127","233,051,607","229,094,786","68,884,792","20,424,525","8,143,122","1,995,698","3,174,755",20,5
